Date,Adj Close,Close,High,Low,Open,Volume
2020-01-01,14196.0556640625,15284.7998046875,15539.7001953125,15250.0,15399.650390625,10221
2020-01-02,14314.056640625,15411.849609375,15450.0,15200.0,15320.9501953125,12982
2020-01-03,14092.1259765625,15172.900390625,15463.900390625,15130.0,15385.0,12150
2020-01-06,13763.248046875,14818.7998046875,15170.0,14760.099609375,15149.9501953125,10161
2020-01-07,13771.794921875,14828.0,14999.9501953125,14697.7998046875,14850.0498046875,12015
2020-01-08,13492.6044921875,14527.400390625,14745.2001953125,14505.7001953125,14742.0,10878
2020-01-09,13819.998046875,14879.900390625,14935.0,14610.0,14710.0,10637
2020-01-10,13798.8212890625,14857.099609375,15084.5,14733.5,14881.0,12854
2020-01-13,13737.70703125,14791.2998046875,14940.0,14752.5498046875,14925.0,6553
2020-01-14,14055.3466796875,15133.2998046875,15199.0,14743.5498046875,14834.0,16359
2020-01-15,13894.06640625,14959.650390625,15250.0,14802.0,15130.150390625,12863
2020-01-16,13769.240234375,14825.25,15079.099609375,14802.0,15040.0,14103
2020-01-17,14291.1162109375,15387.150390625,15449.9501953125,14858.7001953125,14915.0,33609
2020-01-20,13904.00390625,14970.349609375,15550.0,14920.0,15480.0,17559
2020-01-21,13871.6376953125,14935.5,15130.0,14890.0,14929.9501953125,14888
2020-01-22,13618.12890625,14662.5498046875,15087.849609375,14601.0,14979.9501953125,15276
2020-01-23,13907.1630859375,14973.75,15200.0,14652.0,14709.0,21615
2020-01-24,13952.3935546875,15022.4501953125,15241.9501953125,14926.7001953125,15049.900390625,10465
2020-01-27,13821.80859375,14881.849609375,15098.650390625,14840.0,14939.900390625,6658
2020-01-28,13643.205078125,14689.5498046875,15050.0,14650.150390625,14893.0,19596
2020-01-29,13687.787109375,14737.5498046875,14886.9501953125,14665.4501953125,14690.0,14115
2020-01-30,13225.6328125,14239.9501953125,14700.0,14155.0,14667.0,29296
2020-01-31,12896.6162109375,13885.7001953125,14350.0,13840.0,14349.900390625,24677
2020-02-03,12649.3759765625,13619.5,13896.9501953125,13502.7998046875,13600.0,13218
2020-02-04,13015.0791015625,14013.25,14100.0,13651.0,13720.0,16428
2020-02-05,12811.1689453125,13793.7001953125,14440.0,13555.0,14125.0,73277
2020-02-06,13106.0048828125,14111.150390625,14198.7998046875,13822.5,13879.0,21721
2020-02-07,13183.0,14194.0498046875,14250.0,13912.650390625,14199.25,20872
2020-02-10,13079.5361328125,14082.650390625,14214.7001953125,13975.0,14194.0498046875,8908
2020-02-11,13188.0625,14199.5,14255.0,14105.0,14180.0,14836
2020-02-12,13355.2412109375,14379.5,14442.099609375,14110.9501953125,14259.0,12694
2020-02-13,13637.076171875,14682.9501953125,14723.9501953125,14258.7998046875,14379.5,15744
2020-02-14,13574.0576171875,14615.099609375,14770.0,14530.0,14700.9501953125,12034
2020-02-17,13811.2666015625,14870.5,14950.0,14600.0,14600.0,14321
2020-02-18,13516.2890625,14552.900390625,14899.0,14435.0,14870.599609375,20019
2020-02-19,13580.236328125,14621.75,14777.650390625,14400.0,14680.0,10379
2020-02-20,13516.3369140625,14552.9501953125,14649.7998046875,14431.2001953125,14512.0498046875,13302
2020-02-24,13057.986328125,14059.4501953125,14540.5,14001.0,14434.599609375,11390
2020-02-25,12814.0947265625,13796.849609375,14100.0,13770.0498046875,14100.0,8883
2020-02-26,12343.951171875,13290.650390625,13834.75,13222.0498046875,13750.0,14261
2020-02-27,12231.05859375,13169.099609375,13289.0,12818.0,13280.0,23014
2020-02-28,11264.53515625,12128.4501953125,12863.099609375,12010.0,12774.0,35280
2020-03-02,11562.16015625,12448.900390625,12797.9501953125,12309.7001953125,12370.599609375,34896
2020-03-03,12218.5185546875,13155.599609375,13292.349609375,12620.0,12620.0,37746
2020-03-04,12511.3623046875,13470.900390625,13690.0,12912.349609375,13237.5,39121
2020-03-05,12191.259765625,13126.25,13609.25,13050.0,13401.0498046875,21125
2020-03-06,12054.87109375,12979.400390625,13068.900390625,12352.0,12750.0,27391
2020-03-09,11332.5205078125,12201.650390625,12809.599609375,12103.0,12750.0498046875,28079
2020-03-11,11524.4970703125,12408.349609375,12518.650390625,12011.7001953125,12199.9501953125,29903
2020-03-12,10503.9189453125,11309.5,12485.0498046875,11220.0498046875,12199.0,56598
2020-03-13,10688.4189453125,11508.150390625,11871.150390625,9700.0,10601.0,37443
2020-03-16,10281.1064453125,11069.599609375,11440.0,11005.2001953125,11279.7998046875,24474
2020-03-17,9723.9833984375,10469.75,11390.150390625,10310.0,11085.099609375,22858
2020-03-18,9449.857421875,10174.599609375,10678.9501953125,10075.0,10600.0,21180
2020-03-19,8874.0205078125,9554.599609375,10114.4501953125,9279.2001953125,9845.0,33440
2020-03-20,8946.3720703125,9632.5,9849.0,9200.0498046875,9579.9501953125,33696
2020-03-23,7812.66845703125,8411.849609375,9162.2001953125,8187.64990234375,9151.0,28935
2020-03-24,7762.14453125,8357.4501953125,9014.900390625,7850.0,8327.75,35443
2020-03-25,8555.916015625,9212.099609375,9600.0,8060.0,8160.0,25034
2020-03-26,9163.935546875,9866.75,10089.0,9006.9501953125,9288.150390625,25106
2020-03-27,9224.07421875,9931.5,11346.75,9800.0,10853.400390625,56943
2020-03-30,8622.3720703125,9283.650390625,9999.9501953125,9000.0,9999.9501953125,24146
2020-03-31,8726.30078125,9395.5498046875,9500.0,9012.5,9301.2001953125,24602
2020-04-01,8577.9287109375,9235.7998046875,9750.0,9070.599609375,9399.0,57719
2020-04-03,8188.63623046875,8816.650390625,9157.599609375,8710.0,9150.0,34590
2020-04-07,8599.291015625,9258.7998046875,9365.099609375,8900.0,9020.5,28486
