Date,Adj Close,Close,High,Low,Open,Volume
2020-01-01,498.1006164550781,526.5499877929688,614.9000244140625,525.0,585.0,73171880
2020-02-01,491.6207275390625,519.7000122070312,601.4000244140625,498.70001220703125,528.0,74168547
2020-03-01,308.8592834472656,326.5,541.5999755859375,240.14999389648438,527.0,105185465
2020-04-01,397.35479736328125,420.04998779296875,429.3500061035156,295.0,328.5,114954501
2020-05-01,383.9219970703125,405.8500061035156,420.04998779296875,336.0,420.04998779296875,190280877
2020-06-01,402.2265319824219,425.20001220703125,470.0,398.04998779296875,411.0,124864335
2020-07-01,452.3156433105469,478.1499938964844,486.0,423.54998779296875,430.8999938964844,127743903
2020-08-01,478.6136169433594,505.95001220703125,534.9000244140625,445.20001220703125,484.0,119251116
2020-09-01,481.26654052734375,502.8999938964844,546.5,467.04998779296875,505.0,103503344
2020-10-01,433.75238037109375,453.25,524.9000244140625,429.3500061035156,508.0,120460876
2020-11-01,399.7316589355469,417.70001220703125,465.0,399.0,465.0,149143581
2020-12-01,446.2888488769531,466.3500061035156,495.0,416.1000061035156,420.0,333877661
2021-01-01,536.5322875976562,560.6500244140625,601.1500244140625,466.3500061035156,469.8999938964844,224976861
2021-02-01,537.3935546875,561.5499877929688,597.0,510.0,548.9000244140625,180571724
2021-03-01,614.2392578125,641.8499755859375,654.0,570.0,570.0,183661376
2021-04-01,580.7927856445312,606.9000244140625,673.9500122070312,581.2999877929688,640.9500122070312,99611516
2021-05-01,780.0365600585938,815.0999755859375,825.5,596.1500244140625,605.5,248579159
2021-06-01,758.7437133789062,792.8499755859375,864.7000122070312,768.2999877929688,818.0,103082234
2021-07-01,773.7682495117188,808.5499877929688,852.4000244140625,786.1500244140625,796.0,66122821
2021-08-01,717.9935913085938,741.25,810.6500244140625,714.5,808.5499877929688,56256921
2021-09-01,685.4962768554688,707.7000122070312,772.5,700.0,745.1500244140625,48032373
2021-10-01,716.9765625,740.2000122070312,762.0,686.25,707.0,58089137
2021-11-01,660.3119506835938,681.7000122070312,794.0,678.5499877929688,745.0,59270236
2021-12-01,723.6599731445312,747.0999755859375,767.7000122070312,681.5499877929688,687.5,46924010
2022-01-01,752.1376953125,776.5,844.9000244140625,746.0999755859375,753.0,58035685
2022-02-01,644.5718383789062,665.4500122070312,799.5999755859375,622.0,785.0,45297974
2022-03-01,745.4541015625,769.5999755859375,814.5,659.5,665.4500122070312,83280547
2022-04-01,797.0818481445312,822.9000244140625,836.4500122070312,770.5,770.5,52936002
2022-05-01,755.140380859375,779.5999755859375,848.0,733.0499877929688,815.5499877929688,60461898
2022-06-01,612.5587768554688,632.4000244140625,787.4500122070312,607.5,772.5999755859375,46105620
2022-07-01,717.8482666015625,741.0999755859375,745.0,621.9500122070312,630.0,45912295
2022-08-01,755.5166625976562,769.25,804.25,721.4000244140625,753.0,53484412
2022-09-01,660.0519409179688,672.0499877929688,768.0,654.0,764.0499877929688,48545676
2022-10-01,717.1638793945312,730.2000122070312,732.0,660.2000122070312,671.2000122070312,40378515
2022-11-01,775.6016235351562,789.7000122070312,793.5499877929688,711.0999755859375,737.7999877929688,48451190
2022-12-01,703.36474609375,716.1500244140625,807.0,707.5,780.0,39281588
2023-01-01,743.6818237304688,757.2000122070312,766.7000122070312,710.5,718.5999755859375,36974673
2023-02-01,681.8065795898438,694.2000122070312,780.0,684.25,765.0999755859375,50650091
2023-03-01,704.8379516601562,717.6500244140625,723.2000122070312,687.5999755859375,699.2000122070312,28457139
2023-04-01,727.08349609375,740.2999877929688,747.7000122070312,705.2999877929688,718.5,27790808
2023-05-01,672.8689575195312,685.0999755859375,759.9500122070312,657.0499877929688,740.2999877929688,61634284
2023-06-01,675.2752685546875,687.5499877929688,698.9000244140625,665.5,685.0,41281726
2023-07-01,613.5473022460938,624.7000122070312,688.9500122070312,621.0,688.4000244140625,53725573
2023-08-01,580.5963134765625,591.1500244140625,629.5499877929688,576.9500122070312,621.0,65149888
2023-09-01,615.1841430664062,616.25,639.0499877929688,591.0,593.0,60488984
2023-10-01,539.5651245117188,540.5,634.9000244140625,528.1500244140625,616.25,49044444
2023-11-01,569.6630249023438,570.6500244140625,572.9000244140625,529.5499877929688,531.5999755859375,35628545
2023-12-01,586.2343139648438,587.25,614.75,565.7000122070312,570.6500244140625,55270777
2024-01-01,536.77001953125,537.7000122070312,603.7999877929688,533.5499877929688,588.0,56481601
2024-02-01,468.8876037597656,469.70001220703125,540.6500244140625,452.1499938964844,536.2999877929688,98791640
2024-03-01,455.2113037109375,456.0,491.04998779296875,447.79998779296875,474.0,94557088
2024-04-01,506.2728271484375,507.1499938964844,513.9000244140625,458.45001220703125,460.0,83843590
2024-05-01,507.9199523925781,508.79998779296875,540.0,464.3500061035156,507.1499938964844,108413138
2024-06-01,569.8626098632812,570.8499755859375,578.7000122070312,478.0,517.0,75567299
2024-07-01,571.060546875,572.0499877929688,580.2999877929688,522.2999877929688,570.0499877929688,47967858
2024-08-01,597.3150634765625,598.3499755859375,604.0,520.0,575.0,64053828
2024-09-01,613.1500244140625,613.1500244140625,623.7000122070312,582.5499877929688,602.0,48918762
2024-10-01,553.6500244140625,553.6500244140625,625.0,517.4500122070312,612.0,37199812
2024-11-01,545.0,545.0,575.4500122070312,493.674560546875,553.6500244140625,65865054
2024-12-01,501.0,501.0,572.7000122070312,493.0,546.9000244140625,42545095
2025-01-01,552.0,552.0,560.4500122070312,497.20001220703125,498.45001220703125,33569580
