Date,Adj Close,Close,High,Low,Open,Volume
2019-12-30,15936.599609375,15936.599609375,16004.4501953125,15679.650390625,15754.900390625,41200
2020-01-06,15959.900390625,15959.900390625,16067.650390625,15799.7998046875,15934.599609375,123700
2020-01-13,16356.599609375,16356.599609375,16447.349609375,16075.75,16135.5,177000
2020-01-20,16472.75,16472.75,16501.19921875,16133.599609375,16389.599609375,122600
2020-01-27,16144.150390625,16144.150390625,16577.94921875,16098.4501953125,16456.19921875,100700
2020-02-03,16470.150390625,16470.150390625,16621.349609375,16034.2998046875,16282.0,115800
2020-02-10,16642.75,16642.75,16828.19921875,16306.25,16481.5,92100
2020-02-17,16649.400390625,16649.400390625,16882.44921875,16526.400390625,16707.650390625,58000
2020-02-24,15212.9501953125,15212.9501953125,16749.25,15156.7998046875,16642.75,142900
2020-03-02,15663.5,15663.5,16150.599609375,15298.0,15355.0498046875,151100
2020-03-09,13539.099609375,13539.099609375,15371.0,11624.849609375,15333.5498046875,170400
2020-03-16,12363.4501953125,12363.4501953125,13078.650390625,10991.25,12963.7001953125,258000
2020-03-23,12569.099609375,12569.099609375,12949.599609375,11108.650390625,11328.25,234000
2020-03-30,11680.0498046875,11680.0498046875,12930.7998046875,11621.2001953125,12152.9501953125,161100
2020-04-06,12728.5498046875,12728.5498046875,12897.5,12132.2998046875,12147.0,115900
2020-04-13,12649.25,12649.25,12992.0498046875,12205.900390625,12698.849609375,192300
2020-04-20,12816.2001953125,12816.2001953125,13199.75,12322.9501953125,12812.599609375,176400
2020-04-27,14108.400390625,14108.400390625,14212.099609375,12928.0498046875,12957.349609375,177800
2020-05-04,13403.599609375,13403.599609375,13700.25,13262.25,13646.099609375,172500
2020-05-11,13196.349609375,13196.349609375,13960.349609375,13108.400390625,13521.599609375,159100
2020-05-18,13842.650390625,13842.650390625,13902.7998046875,13109.9501953125,13278.25,157900
2020-05-25,14010.5,14010.5,14080.5498046875,13488.099609375,13860.849609375,196900
2020-06-01,14627.4501953125,14627.4501953125,14732.849609375,14140.849609375,14155.650390625,202500
2020-06-08,14402.75,14402.75,14990.25,14123.5498046875,14824.75,197300
2020-06-15,14499.7998046875,14499.7998046875,14667.400390625,14238.0498046875,14444.25,0
2020-06-22,14994.650390625,14994.650390625,15086.0,14320.7001953125,14537.7998046875,224000
2020-06-29,15285.900390625,15285.900390625,15336.849609375,14692.4501953125,14874.2001953125,142200
2020-07-06,15565.2001953125,15565.2001953125,15806.849609375,15351.7001953125,15351.7001953125,166100
2020-07-13,16821.349609375,16821.349609375,17491.150390625,15611.849609375,15643.099609375,559300
2020-07-20,17286.0,17286.0,17514.05078125,16849.150390625,16880.349609375,274600
2020-07-27,18071.849609375,18071.849609375,18353.5,17290.55078125,17323.0,296400
2020-08-03,18004.150390625,18004.150390625,18222.80078125,17716.400390625,18099.400390625,144600
2020-08-10,18022.650390625,18022.650390625,18344.05078125,17900.0,18090.25,156700
2020-08-17,18065.30078125,18065.30078125,18375.150390625,18047.94921875,18136.650390625,39300
2020-08-24,18122.0,18122.0,18305.55078125,17914.5,18092.55078125,0
2020-08-31,18073.94921875,18073.94921875,18497.94921875,17775.650390625,18163.25,0
2020-09-07,18633.25,18633.25,18740.849609375,17962.349609375,18093.05078125,28400
2020-09-14,19827.099609375,19827.099609375,20067.69921875,18799.55078125,18804.849609375,0
2020-09-21,19629.349609375,19629.349609375,20331.599609375,18914.69921875,19855.55078125,0
2020-09-28,20110.400390625,20110.400390625,20196.05078125,19463.650390625,19774.75,0
2020-10-05,21837.650390625,21837.650390625,22169.30078125,20341.44921875,20375.900390625,0
2020-10-12,21538.150390625,21538.150390625,22619.0,21247.55078125,21990.849609375,0
2020-10-19,21523.599609375,21523.599609375,21892.30078125,21290.44921875,21683.80078125,0
2020-10-26,20916.849609375,20916.849609375,21595.80078125,20548.30078125,21493.30078125,0
2020-11-02,21492.30078125,21492.30078125,21596.0,20669.349609375,20964.150390625,0
2020-11-09,21436.849609375,21436.849609375,21926.900390625,20862.69921875,21751.650390625,0
2020-11-16,21409.25,21409.25,21706.19921875,21070.25,21704.05078125,0
2020-11-23,21764.900390625,21764.900390625,22281.849609375,21432.650390625,21551.849609375,36600
2020-11-30,22309.80078125,22309.80078125,22458.80078125,21814.400390625,21921.099609375,0
