Date,Adj Close,Close,High,Low,Open,Volume
2019-12-30,32068.876953125,32069.25,32465.44921875,31960.400390625,32133.150390625,471200
2020-01-06,32097.02734375,32097.400390625,32347.19921875,30899.55078125,31910.44921875,1607800
2020-01-13,31590.283203125,31590.650390625,32322.650390625,31445.5,32139.099609375,1837800
2020-01-20,31241.38671875,31241.75,31923.94921875,30614.0,31923.94921875,1478700
2020-01-27,30833.2421875,30833.599609375,31227.05078125,30521.30078125,31110.55078125,1480600
2020-02-03,31201.5859375,31201.94921875,31470.650390625,29612.55078125,29811.75,1689700
2020-02-10,30834.443359375,30834.80078125,31649.44921875,30776.099609375,31248.650390625,1309000
2020-02-17,30942.490234375,30942.849609375,31085.30078125,30252.44921875,30873.849609375,940800
2020-02-24,29146.8125,29147.150390625,30702.150390625,29051.5,30666.349609375,1506000
2020-03-02,27801.126953125,27801.44921875,29791.150390625,27162.30078125,29701.0,3805200
2020-03-09,25166.15625,25166.44921875,27091.599609375,21351.69921875,27031.44921875,3326300
2020-03-16,20317.36328125,20317.599609375,24074.150390625,18675.650390625,24061.599609375,2873300
2020-03-23,19968.767578125,19969.0,21462.400390625,16116.25,18311.30078125,2116200
2020-03-30,17249.099609375,17249.30078125,19716.25,17143.19921875,19254.44921875,1254200
2020-04-06,19913.3671875,19913.599609375,20324.099609375,17953.75,18454.55078125,1333800
2020-04-13,20681.208984375,20681.44921875,20866.55078125,18703.44921875,19854.900390625,1503400
2020-04-20,19586.421875,19586.650390625,21122.099609375,19051.94921875,21104.69921875,1731000
2020-04-27,21534.25,21534.5,21967.0,19847.650390625,19870.80078125,1539800
2020-05-04,19352.67578125,19352.900390625,20530.44921875,18941.0,20514.75,1405800
2020-05-11,18833.73046875,18833.94921875,20122.25,18287.0,19610.44921875,1832400
2020-05-18,17278.69921875,17278.900390625,18795.099609375,17105.0,18795.099609375,2008900
2020-05-25,19297.025390625,19297.25,19455.55078125,17311.25,17537.650390625,2017600
2020-06-01,21034.255859375,21034.5,21619.55078125,19632.900390625,19728.900390625,2848600
2020-06-08,20654.310546875,20654.55078125,21807.400390625,19526.099609375,21636.099609375,3318600
2020-06-15,21337.8515625,21338.099609375,21467.650390625,19507.05078125,20457.150390625,0
2020-06-22,21591.80078125,21592.05078125,22479.55078125,20926.44921875,21491.55078125,2838900
2020-06-29,21852.146484375,21852.400390625,22344.849609375,21026.44921875,21291.55078125,1661900
2020-07-06,22398.189453125,22398.44921875,23080.599609375,22040.349609375,22270.94921875,2232900
2020-07-13,21966.544921875,21966.80078125,22657.400390625,21027.849609375,22613.25,1634800
2020-07-20,22661.787109375,22662.05078125,23211.349609375,22187.80078125,22307.30078125,1823000
2020-07-27,21639.798828125,21640.05078125,22668.05078125,21375.0,22664.599609375,1818000
2020-08-03,21753.748046875,21754.0,21936.5,21031.44921875,21543.80078125,1535000
2020-08-10,21679.1484375,21679.400390625,22439.94921875,21459.099609375,21824.900390625,1755100
2020-08-17,22299.33984375,22299.599609375,22419.349609375,21403.150390625,21906.94921875,263400
2020-08-24,24523.515625,24523.80078125,24611.80078125,22410.05078125,22436.849609375,0
2020-08-31,23011.232421875,23011.5,25232.599609375,22876.900390625,25038.80078125,0
2020-09-07,22479.6875,22479.94921875,23109.099609375,22080.400390625,23036.25,245300
2020-09-14,22030.794921875,22031.05078125,22757.30078125,21784.900390625,22683.349609375,0
2020-09-21,20982.10546875,20982.349609375,22098.849609375,20404.900390625,21983.400390625,0
2020-09-28,22245.7421875,22246.0,22293.75,21055.099609375,21152.05078125,0
2020-10-05,23846.5234375,23846.80078125,23904.099609375,22247.25,22352.099609375,0
2020-10-12,23532.9765625,23533.25,24190.349609375,22970.94921875,23955.599609375,0
2020-10-19,24478.015625,24478.30078125,24823.599609375,23754.849609375,23902.900390625,0
2020-10-26,23900.623046875,23900.900390625,24809.650390625,23612.69921875,24525.80078125,0
2020-11-02,26798.638671875,26798.94921875,26853.44921875,24120.599609375,24367.599609375,0
2020-11-09,28465.369140625,28465.69921875,29030.900390625,27068.94921875,27088.94921875,0
2020-11-16,29235.66015625,29236.0,29784.75,28580.900390625,28792.25,0
2020-11-23,29608.70703125,29609.05078125,30197.849609375,28852.900390625,29432.80078125,369400
2020-11-30,30052.05078125,30052.400390625,30162.30078125,29149.900390625,29844.80078125,0
2020-12-07,30604.494140625,30604.849609375,30811.80078125,29950.599609375,30062.599609375,0
2020-12-14,30714.29296875,30714.650390625,30945.19921875,30345.75,30735.150390625,548400
2020-12-21,30401.845703125,30402.19921875,30607.5,28976.75,30595.80078125,0
2020-12-28,31263.6875,31264.05078125,31510.25,30538.150390625,30558.849609375,0
2021-01-04,32083.826171875,32084.19921875,32298.05078125,30893.650390625,31485.150390625,0
2021-01-11,32246.42578125,32246.80078125,32718.94921875,31725.849609375,32280.30078125,0
2021-01-18,31166.888671875,31167.25,32842.30078125,31119.900390625,32275.150390625,751600
2021-01-25,30565.14453125,30565.5,31697.55078125,29687.69921875,31507.150390625,0
2021-02-01,35654.0859375,35654.5,36615.19921875,30906.44921875,30976.349609375,1277400
2021-02-08,36108.48046875,36108.8984375,36477.1484375,35428.1484375,36073.8515625,0
2021-02-15,35841.18359375,35841.6015625,37708.75,35584.6015625,36501.3984375,0
2021-02-22,34803.1953125,34803.6015625,37232.19921875,34658.69921875,35874.30078125,728800
2021-03-01,35227.73828125,35228.1484375,36455.1484375,34893.25,35374.25,0
2021-03-08,35496.234375,35496.6484375,36497.3515625,35090.75,35462.44921875,0
2021-03-15,34161.203125,34161.6015625,35544.25,33361.0,35544.25,0
2021-03-22,33317.8125,33318.19921875,34360.05078125,32415.25,34088.3984375,0
2021-03-29,33857.60546875,33858.0,33990.80078125,33151.80078125,33615.8984375,374200
2021-04-05,32447.673828125,32448.05078125,33697.75,32141.55078125,33649.1484375,0
2021-04-12,31977.078125,31977.44921875,32325.150390625,30520.30078125,31637.900390625,0
2021-04-19,31721.931640625,31722.30078125,32148.400390625,30405.650390625,30993.44921875,368400
2021-04-26,32781.41796875,32781.80078125,34287.0,32144.80078125,32316.650390625,0
2021-05-03,32904.1171875,32904.5,33259.1484375,31906.55078125,32368.55078125,1137800
2021-05-10,32169.177734375,32169.55078125,33297.6015625,32115.5,33175.30078125,0
2021-05-17,34606.49609375,34606.8984375,34694.44921875,32318.69921875,32437.849609375,0
2021-05-24,35141.0390625,35141.44921875,35436.6484375,34410.3984375,34869.30078125,0
2021-05-31,35291.23828125,35291.6484375,35810.8984375,34930.1015625,35097.44921875,0
2021-06-07,35046.9921875,35047.3984375,35545.8515625,34641.19921875,35460.80078125,0
2021-06-14,34557.59765625,34558.0,35380.0,33908.94921875,34936.55078125,0
2021-06-21,35364.23828125,35364.6484375,35491.94921875,33937.5,34109.44921875,0
2021-06-28,34809.4921875,34809.8984375,35576.94921875,34632.6015625,35488.19921875,329600
2021-07-05,35071.54296875,35071.94921875,35811.0,34859.8984375,35010.94921875,0
